epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3000.21,1.00182,0.58507,0.86744,0.95794,0.98123,0.99029,0.75267,0.89064,0.47657,0.84317,0.000318158,0.000318158,0.000318158
86,3035.69,1.02811,0.60731,0.86345,0.95712,0.9751,0.99024,0.7562,0.88679,0.48324,0.84126,0.000313446,0.000313446,0.000313446
87,3070.9,1.00184,0.60679,0.85902,0.97341,0.96305,0.99068,0.74965,0.89435,0.49463,0.84277,0.000308734,0.000308734,0.000308734
88,3106.11,1.02887,0.60261,0.86581,0.96284,0.97048,0.99044,0.7518,0.89604,0.47573,0.84365,0.000304021,0.000304021,0.000304021
89,3141.36,1.01248,0.59868,0.86649,0.96835,0.96691,0.98957,0.75337,0.88632,0.47556,0.84224,0.000299309,0.000299309,0.000299309
90,3176.38,1.02589,0.59941,0.86884,0.95839,0.98286,0.99055,0.75393,0.88424,0.47225,0.84249,0.000294596,0.000294596,0.000294596
91,3211.41,0.99024,0.59233,0.8671,0.96193,0.97675,0.99109,0.75953,0.86552,0.46818,0.8397,0.000289884,0.000289884,0.000289884
92,3246.3,1.01365,0.59002,0.86522,0.95092,0.98419,0.99109,0.75369,0.87883,0.47452,0.84191,0.000285172,0.000285172,0.000285172
93,3281.32,1.02418,0.59916,0.87138,0.95849,0.98091,0.99101,0.75754,0.86506,0.46804,0.83789,0.000280459,0.000280459,0.000280459
94,3316.37,0.99725,0.58298,0.86095,0.95835,0.98369,0.99085,0.7573,0.87285,0.46728,0.83906,0.000275747,0.000275747,0.000275747
95,3351.55,0.98974,0.57628,0.86227,0.96182,0.9786,0.99138,0.76527,0.85576,0.46439,0.838,0.000271034,0.000271034,0.000271034
96,3386.52,0.97661,0.56964,0.85932,0.97049,0.97175,0.99072,0.75748,0.86795,0.46894,0.83784,0.000266322,0.000266322,0.000266322
97,3421.86,0.98035,0.58559,0.86346,0.96317,0.97469,0.99142,0.7514,0.88835,0.47049,0.8407,0.00026161,0.00026161,0.00026161
98,3456.81,0.97152,0.55655,0.85606,0.95946,0.97879,0.99215,0.76171,0.86956,0.46495,0.83908,0.000256897,0.000256897,0.000256897
99,3492.2,0.98732,0.56639,0.85912,0.97299,0.96561,0.99167,0.76559,0.85662,0.46046,0.83706,0.000252185,0.000252185,0.000252185
100,3527.84,0.99245,0.58118,0.8531,0.97099,0.97104,0.99208,0.76417,0.85864,0.45699,0.83713,0.000247472,0.000247472,0.000247472
101,3563.21,0.985,0.57944,0.84718,0.97158,0.97174,0.99228,0.76164,0.85483,0.45735,0.8362,0.00024276,0.00024276,0.00024276
102,3598.82,0.9838,0.57903,0.85993,0.95718,0.98571,0.99236,0.76576,0.84111,0.4562,0.83445,0.000238048,0.000238048,0.000238048
103,3634.59,0.96193,0.58529,0.8557,0.95873,0.98018,0.99209,0.76986,0.83772,0.45275,0.83369,0.000233335,0.000233335,0.000233335
104,3671.34,0.96665,0.56505,0.85596,0.95479,0.98417,0.99221,0.77196,0.83503,0.44922,0.83407,0.000228623,0.000228623,0.000228623
105,3707.32,0.95796,0.56566,0.85376,0.96455,0.97726,0.99188,0.76831,0.84327,0.45592,0.83533,0.00022391,0.00022391,0.00022391
106,3743.16,0.9742,0.58455,0.85601,0.95995,0.97854,0.99137,0.76233,0.84904,0.46197,0.83544,0.000219198,0.000219198,0.000219198
